time_diff,source_destination
1440.0,"1.386478068,103.7602565;1.387284982,103.7590052"
120.0,"1.387284982,103.7590052;1.386478068,103.7602565"
660.0,"1.386478068,103.7602565;1.387284982,103.7590052"
60.0,"1.387284982,103.7590052;1.386478068,103.7602565"
180.0,"1.386478068,103.7602565;1.387284982,103.7590052"
120.0,"1.387284982,103.7590052;1.386478068,103.7602565"
300.0,"1.387284982,103.7590052;1.3866855,103.7597589"
840.0,"1.3866855,103.7597589;1.387474968,103.7584448"
240.0,"1.387474968,103.7584448;1.386413962,103.7592793"
120.0,"1.386413962,103.7592793;1.387474968,103.7584448"
240.0,"1.387474968,103.7584448;1.386413962,103.7592793"
360.0,"1.386413962,103.7592793;1.387474968,103.7584448"
60.0,"1.387474968,103.7584448;1.386413962,103.7592793"
720.0,"1.386413962,103.7592793;1.387474968,103.7584448"
120.0,"1.385464744,103.7593798;1.387474968,103.7584448"
480.0,"1.385464744,103.7593798;1.387284982,103.7590052"
60.0,"1.387284982,103.7590052;1.385464744,103.7593798"
1080.0,"1.385464744,103.7593798;1.386954312,103.7584324"
180.0,"1.386954312,103.7584324;1.3854748,103.7598805"
840.0,"1.3854748,103.7598805;1.386548243,103.7578378"
240.0,"1.386548243,103.7578378;1.385571506,103.7603624"
120.0,"1.385571506,103.7603624;1.386548243,103.7578378"
120.0,"1.386548243,103.7578378;1.385571506,103.7603624"
420.0,"1.385571506,103.7603624;1.386548243,103.7578378"
240.0,"1.386548243,103.7578378;1.385571506,103.7603624"
240.0,"1.385571506,103.7603624;1.386548243,103.7578378"
540.0,"1.386548243,103.7578378;1.381360051,103.7627491"
420.0,"1.381360051,103.7627491;1.385464744,103.7593798"
60.0,"1.385464744,103.7593798;1.386562259,103.7572081"
720.0,"1.386562259,103.7572081;1.381529844,103.7621388"
180.0,"1.381529844,103.7621388;1.386562259,103.7572081"
180.0,"1.386562259,103.7572081;1.381529844,103.7621388"
60.0,"1.381529844,103.7621388;1.386562259,103.7572081"
120.0,"1.386562259,103.7572081;1.381529844,103.7621388"
180.0,"1.381529844,103.7621388;1.386562259,103.7572081"
960.0,"1.386562259,103.7572081;1.380798254,103.7618568"
60.0,"1.380798254,103.7618568;1.38760849,103.7645906"
60.0,"1.38760849,103.7645906;1.380798254,103.7618568"
420.0,"1.380798254,103.7618568;1.385812208,103.7577118"
60.0,"1.385812208,103.7577118;1.380798254,103.7618568"
300.0,"1.380798254,103.7618568;1.386922981,103.763948"
120.0,"1.386922981,103.763948;1.385955159,103.7582367"
120.0,"1.386922981,103.763948;1.380981,103.7625093"
240.0,"1.380981,103.7625093;1.386922981,103.763948"
360.0,"1.386922981,103.763948;1.380981,103.7625093"
360.0,"1.380981,103.7625093;1.386922981,103.763948"
540.0,"1.386922981,103.763948;1.386609023,103.7636533"
600.0,"1.386609023,103.7636533;1.385597284,103.758344"
780.0,"1.385597284,103.758344;1.38685783,103.7634046"
600.0,"1.38685783,103.7634046;1.385078053,103.7581739"
60.0,"1.385078053,103.7581739;1.38721724,103.7637398"
180.0,"1.38721724,103.7637398;1.385078053,103.7581739"
540.0,"1.38721724,103.7637398;1.38516878,103.7585266"
60.0,"1.38516878,103.7585266;1.38721724,103.7637398"
120.0,"1.38721724,103.7637398;1.38516878,103.7585266"
120.0,"1.38516878,103.7585266;1.387615544,103.7641418"
60.0,"1.387615544,103.7641418;1.38516878,103.7585266"
60.0,"1.38516878,103.7585266;1.387615544,103.7641418"
120.0,"1.387615544,103.7641418;1.38516878,103.7585266"
2100.0,"1.38516878,103.7585266;1.384621208,103.7592236"
960.0,"1.384621208,103.7592236;1.384608611,103.7596039"
1920.0,"1.387138086,103.7643015;1.386206,103.757122"
480.0,"1.386206,103.757122;1.381289134,103.7615713"
2160.0,"1.387138086,103.7643015;1.386478068,103.7602565"
1620.0,"1.386478068,103.7602565;1.387284982,103.7590052"
120.0,"1.387284982,103.7590052;1.386478068,103.7602565"
180.0,"1.386478068,103.7602565;1.387284982,103.7590052"
60.0,"1.387284982,103.7590052;1.386478068,103.7602565"
120.0,"1.386478068,103.7602565;1.387284982,103.7590052"
120.0,"1.387284982,103.7590052;1.3866855,103.7597589"
300.0,"1.3866855,103.7597589;1.3866855,103.7597589"
180.0,"1.387284982,103.7590052;1.387284982,103.7590052"
60.0,"1.387284982,103.7590052;1.3866855,103.7597589"
180.0,"1.3866855,103.7597589;1.387284982,103.7590052"
120.0,"1.387284982,103.7590052;1.3866855,103.7597589"
480.0,"1.3866855,103.7597589;1.386413962,103.7592793"
240.0,"1.386413962,103.7592793;1.387474968,103.7584448"
360.0,"1.386413962,103.7592793;1.387474968,103.7584448"
60.0,"1.387474968,103.7584448;1.385464744,103.7593798"
60.0,"1.385464744,103.7593798;1.387474968,103.7584448"
420.0,"1.387474968,103.7584448;1.385464744,103.7593798"
300.0,"1.385464744,103.7593798;1.387474968,103.7584448"
120.0,"1.385464744,103.7593798;1.387474968,103.7584448"
60.0,"1.387474968,103.7584448;1.385464744,103.7593798"
120.0,"1.385464744,103.7593798;1.387474968,103.7584448"
240.0,"1.385464744,103.7593798;1.387474968,103.7584448"
240.0,"1.385464744,103.7593798;1.3854748,103.7598805"
300.0,"1.387474968,103.7584448;1.387474968,103.7584448"
180.0,"1.387474968,103.7584448;1.385571506,103.7603624"
420.0,"1.385571506,103.7603624;1.386954312,103.7584324"
540.0,"1.385571506,103.7603624;1.386954312,103.7584324"
120.0,"1.386954312,103.7584324;1.385464744,103.7593798"
60.0,"1.385464744,103.7593798;1.386954312,103.7584324"
240.0,"1.386954312,103.7584324;1.385872054,103.7578213"
120.0,"1.385872054,103.7578213;1.386954312,103.7584324"
480.0,"1.386954312,103.7584324;1.386548243,103.7578378"
2220.0,"1.386548243,103.7578378;1.386206,103.757122"
120.0,"1.386206,103.757122;1.38760849,103.7645906"
60.0,"1.38760849,103.7645906;1.386548243,103.7578378"
180.0,"1.386548243,103.7578378;1.387138086,103.7643015"
300.0,"1.387138086,103.7643015;1.383590574,103.7602891"
60.0,"1.383590574,103.7602891;1.387138086,103.7643015"
780.0,"1.387138086,103.7643015;1.386609023,103.7636533"
480.0,"1.386609023,103.7636533;1.38685783,103.7634046"
540.0,"1.38685783,103.7634046;1.386562259,103.7572081"
300.0,"1.386562259,103.7572081;1.38721724,103.7637398"
600.0,"1.38721724,103.7637398;1.386562259,103.7572081"
60.0,"1.386562259,103.7572081;1.387615544,103.7641418"
360.0,"1.387615544,103.7641418;1.386562259,103.7572081"
360.0,"1.387615544,103.7641418;1.386562259,103.7572081"
420.0,"1.386562259,103.7572081;1.385571506,103.7603624"
